account_id,credit_limit,sex,education,marriage,age,repay_status_1,repay_status_2,repay_status_3,repay_status_4,repay_status_5,repay_status_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_next_month,utilization,avg_utilization_6m,payment_ratio_6m,worst_delinquency_6m,avg_delinquency_6m,months_delinquent_6m,delinquency_trend,age_band,pd_score,lgd_assumption,ead,expected_loss,risk_band
2765,50000,1,4,2,41,1,4,0,3,0,3,15789.31,20304.79,25656.26,29825.23,9513.35,18097.01,3875.22,6201.87,4668.08,3320.91,5565.28,2960.46,1,0.3157862,0.3972865,0.2231120362760879,4,1.8333333333333333,4,-0.3333333333333332,36-45,0.5283076488821695,0.6,50000,15849.229466465084,Severe
4768,20000,1,2,1,35,-1,3,1,3,3,4,791.32,3409.31,9632.72,11520.07,8742.93,495.05,802.75,1443.8,2100.59,836.88,2579.65,1030.1,1,0.039566,0.2882616666666667,0.2542183895419093,4,2.1666666666666665,5,-2.333333333333333,26-35,0.4581267852074983,0.6,20000,5497.521422489979,Severe
3815,90000,2,3,3,41,3,4,3,0,0,-1,27119.21,7963.62,29205.02,20391.6,52787.1,30877.26,11873.9,3196.95,10740.65,1164.81,7751.49,4047.2,0,0.3013245555555555,0.3117477962962963,0.2303321993247034,4,1.5,3,3.666666666666667,36-45,0.5125369309881997,0.6,90000,27676.994273362783,Severe
3500,90000,2,4,3,56,1,2,-1,2,0,-1,42238.67,25701.64,43146.84,2673.01,23625.97,34739.06,12162.18,6029.47,1786.58,2865.53,6169.73,12770.13,0,0.4693185555555555,0.3187503518518518,0.2427513369774639,2,0.5,3,0.3333333333333333,56+,0.3263936874183418,0.6,90000,17625.25912059046,High
2736,20000,1,2,3,32,3,2,3,0,-1,1,1200.51,529.51,11983.42,9188.62,3476.55,9268.48,1820.3,2914.85,2338.6,2137.12,1784.78,2376.61,0,0.0600255,0.2970590833333333,0.3751290778574072,3,1.3333333333333333,4,2.6666666666666665,26-35,0.2710272866028907,0.6,20000,3252.3274392346884,High
3923,90000,1,2,2,49,3,3,3,2,0,2,40941.88,5760.82,42477.13,21191.65,51046.03,14158.52,11120.65,1564.33,13352.44,2427.86,2029.07,12138.86,0,0.4549097777777777,0.3251407962962962,0.2428190795748144,3,2.1666666666666665,5,1.6666666666666667,46-55,0.4672470216003107,0.6,90000,25231.339166416776,Severe
2702,200000,2,2,1,39,1,-1,0,-1,-1,-1,57293.13,87800.95,49711.76,28937.82,97052.05,15688.09,17224.57,15383.73,13733.91,20851.88,19085.43,24016.1,1,0.2864656499999999,0.2804031666666667,0.3277887969643709,1,-0.5,1,1.0,36-45,0.1660371109659119,0.6,200000,19924.45331590944,High
1180,20000,2,1,2,61,3,3,1,-1,0,-1,3590.8,7118.27,6621.82,5931.17,10223.2,9003.74,403.73,1478.76,1829.74,744.6,2329.93,1518.71,0,0.17954,0.354075,0.1954734166490151,3,0.8333333333333334,3,3.0,56+,0.3253115823098157,0.6,20000,3903.738987717789,High
933,50000,1,3,1,35,4,2,4,2,2,1,20325.51,19723.68,14802.32,4736.95,6974.83,5828.23,3491.04,3181.26,5494.28,3693.85,3386.93,650.11,0,0.4065102,0.2413050666666666,0.274859127146384,4,2.5,6,1.6666666666666667,26-35,0.6104078020766174,0.6,50000,18312.23406229852,Severe
793,200000,1,2,1,38,1,-1,4,3,0,1,79860.65,53812.0,38279.98,22673.11,51831.66,85563.94,25694.18,11794.35,26748.24,1026.12,7358.62,6365.32,1,0.39930325,0.2766844499999999,0.2378968472327713,4,1.3333333333333333,4,0.0,36-45,0.632996162197101,0.6,200000,75959.53946365211,Severe
1853,90000,2,3,2,50,-1,-1,3,2,3,1,34717.83,24279.79,2757.98,49449.7,19126.79,48895.52,6843.24,11756.02,6546.6,3344.68,10229.75,8362.02,0,0.3857536666666666,0.3319029814814814,0.2626956304332798,3,1.1666666666666667,4,-1.6666666666666667,46-55,0.4556272782473748,0.6,90000,24603.873025358243,Severe
1186,50000,2,2,2,58,1,2,1,2,-1,1,2388.45,20668.63,9333.39,12204.16,11799.86,16396.06,4697.23,2871.92,351.42,5710.87,7020.81,5685.22,0,0.047769,0.2426351666666666,0.3618254017863582,2,1.0,5,0.6666666666666666,56+,0.2082068317877777,0.6,50000,6246.204953633331,High
1725,150000,1,2,3,33,-1,-1,3,1,1,1,50246.16,84526.28,27431.28,23493.62,70823.76,36550.29,4626.15,108.77,3117.88,9599.37,22497.9,20698.84,1,0.3349744,0.3256348777777777,0.2069424449790203,3,0.6666666666666666,4,-0.6666666666666667,26-35,0.4488231186304086,0.6,150000,40394.080676736776,Severe
